,Date,tweets,User Location,hashtag
36,10/14/2019 0:19,#MAGA2020 Praying for you. 🇧🇷🇺🇸🙇‍♀️ https://t.co/Ts9VfRTH7y,,#MAGA2020
37,10/14/2019 0:15,@StopWheeler Bunch of slow flakes.  #ExposeCNN #MAGA2020 #Trump2020LandslideVictory,,#MAGA2020
38,10/14/2019 0:15,@thehowie @realDonaldTrump You obviously watch only the 6 corps offering their mind controlled media  ... you ARE n… https://t.co/HqsGrGA00Q,"Connecticut, USA",#MAGA2020
39,10/14/2019 0:14,@MarkWarnerVA No Mark the Snark. I wouldn’t stand for you if that meant going hungry! You are a true partisan snake… https://t.co/eViJ69TYxe,,#MAGA2020
40,10/14/2019 0:13,@realDonaldTrump Impeach trump? Never gonna happen #MAGA #PATRIOTS #AMERICA #MAGA2020,,#MAGA2020
41,10/14/2019 0:12,For you #MAGA2020 https://t.co/iPDVvLnVBe,"San Francisco, CA",#MAGA2020
42,10/14/2019 0:12,#Frenchquarter you have a Pepper Palace at #1 market street across from French Market Get Your Burn On! #NOLA… https://t.co/bhZVazMSyk,Tennessee ,#MAGA2020
43,10/14/2019 0:11,@pjbowles4 @MeltingInMarana @rkline56 @AlexPatriot3 @GannCro @phillyeaglesfa1 @1badveteran @okWessler5 @suprdupe… https://t.co/UjuHhnpNFe,MiddleOFTheSea,#MAGA2020
44,10/14/2019 0:11,"PLEASE SAVE THE BABY HUMANS"" #God #UnbornLivesMatter #MAGA2020 #usa https://t.co/qRhIySQ82I",Tennessee ,#MAGA2020
45,10/14/2019 0:10,Thank you for Making America Great Again @realDonaldTrump and fighting for #WeThePeople everyday. We love you… https://t.co/c4gxRbcEql,"Slidell, LA",#MAGA2020
46,10/14/2019 0:09,Gatlinburgs Bearfoot Art Gallery has closed but RJ McNalls artwork is available at Gatlinburgs welcome center… https://t.co/vj3AlwRlZX,Tennessee ,#MAGA2020
47,10/14/2019 0:08,@SuriusVsVodka I'll definitely support it. It's nice to find a place where I'm not hated because of my skin color.… https://t.co/N610YxcpOr,,#MAGA2020
48,10/14/2019 0:07,Actually he's human. But... everyone is entitled to an opinion. #maga #Trump2020LandslideVictory… https://t.co/73OuN1XR2M,United States,#MAGA2020
49,10/14/2019 0:06,Does anyone rooting for #MAGA2020 and #Trump2020LandslideVictory realize this is a  #NationalSecurity disaster? My… https://t.co/evN5ZKaQwz,maryland,#MAGA2020
50,10/14/2019 0:06,@RealSaavedra Daddy put him in the dog house. Hand got caught in the cookie jar. #LiberalCorruption #MAGA #MAGA2020 https://t.co/hX2aXKSPkZ,"Atlanta, GA",#MAGA2020
51,10/14/2019 0:06,@DraftTulsi Trying to get you some #maga #MAGA2020 followers.,Pacific Northwest,#MAGA2020
52,10/14/2019 0:06,@Carpefreedom05 @sweetrtweetrD @gjonesc3 @pjbowles4 @MeltingInMarana @rkline56 @AlexPatriot3 @GannCro… https://t.co/HTJg8ixomE,MiddleOFTheSea,#MAGA2020
53,10/14/2019 0:05,@DavidJHarrisJr @IlhanMN You are so wrong about the deplorables.They are hard working Americans from many nations w… https://t.co/FAauNuw0fQ,Cape Cod,#MAGA2020
54,10/14/2019 0:04,"@DavidJHarrisJr @realDonaldTrump That would of made my flights last week even better, seeing your hat. #MAGA #MAGA2020",Pennsylvania,#MAGA2020
55,10/14/2019 0:03,Does anyone rooting for #MAGA2020 and #Trump2020LandslideVictory realize this is a  #NationalSecurity disaster? My… https://t.co/AJeSWkFs6v,maryland,#MAGA2020
56,10/14/2019 0:03,@AmicaAli @marcorubio And he will stay sitting there until 2024!  #MAGA2020 #MAGA #KAG #KAG2020,,#MAGA2020
57,10/14/2019 0:03,Following all fellow patriots! #MAGA2020 #MAGA2020Landslide #KAG2020 #KAG2020LandslideVictory #DemocratsAreCorrupt… https://t.co/F2H24UTvtb,Southern NH •  AmericaFirst,#MAGA2020
58,10/14/2019 0:03,@DraftTulsi You still a Trumpster? #MAGA2020 and #maga wanted to know :),Pacific Northwest,#MAGA2020
59,10/14/2019 0:02,@PeteKent01 Congrats!! #MAGA2020,,#MAGA2020
60,10/14/2019 0:02,@LalaFlorida94  thank you! #MAGA2020 janie,"Nevada, USA",#MAGA2020
61,10/14/2019 0:02,@kurteichenwald The #MAGA2020  would rather be killed by ISIS than be a Democrat,"Perth, Western Australia",#MAGA2020
62,10/14/2019 0:01,"@realdonaldtrump the most expensive president in history. 
Your tax dollars at work. 
#MAGA2020 https://t.co/ENfFzBh3J8",United States,#MAGA2020
63,10/14/2019 0:00,"@JoeBiden P A N d E r  much J o E?
Where is your spawn?
#PanicInDC 
#MAGA2020",,#MAGA2020
64,10/13/2019 23:58,All Ovomit wanted/wants to do is destroy America. Plus he's not the brightest bulb on the tree.......… https://t.co/CirtpxU6g3,USA,#MAGA2020
65,10/13/2019 23:58,The Base of @realDonaldTrump has all eyes on @LindseyGrahamSC now. We are tired of the one sided #Democrat fairytal… https://t.co/D8X9KgTNaY,"Nashville, TN",#MAGA2020
66,10/13/2019 23:56,"@realDonaldTrump @IvankaTrump @jaredkushner @EricTrump @DonaldJTrumpJr Trump Clan Nepotism and Corruption, Conflict… https://t.co/qvQsNuR4L5",,#MAGA2020
67,10/13/2019 23:55,"Faster please!
#ImpeachAndRemove @realDonaldTrump !

#MAGA2020 https://t.co/MyRgHeBkiI",USS Reliant,#MAGA2020
68,10/13/2019 23:50,"@NBCNews Of course, he forgot to say because two reasons: 1 his family is already filthy rich due to 40 years at pu… https://t.co/5ZQ6oeLnUZ",,#MAGA2020
69,10/13/2019 23:49,@trumpsanalwart @laurelsobol @4HimAloneWeLive @frostfeet21 @SusanIverach @Tjh969Hand @neuro7plastic @thames_tim… https://t.co/nKdGUriTt4,South Carolina,#MAGA2020
70,10/13/2019 23:49,Trumps Allies USA enemies . How can anyone not wake up and see #MAGA2020 would be a final end to everything we buil… https://t.co/m58Y9MMJrV,"California, USA",#MAGA2020
71,10/13/2019 23:49,@PhantomQAnon @pumpernicklebe1 @Jali_Cat @SURSDIK @amicah1 @Patti_Sc60 @markkirin_ @Razorsmack1 @NavyWifeAlison… https://t.co/9vUZiA8r7o,,#MAGA2020
72,10/13/2019 23:47,@DanScavino Went to RT this from my timeline &amp; Twitter said it was deleted. #MAGA2020,U.S.A,#MAGA2020
73,10/13/2019 23:47,"I don’t think it’s possible to make Cali great agin but you have to love his enthusiasm. 

#LiberalHypocrisy… https://t.co/DJCysA9AN6","Atlanta, GA",#MAGA2020
74,10/13/2019 23:47,"@realDonaldTrump Don't care what THEY buy, care what #MAGA2020 #maga buys. ""Patriots, buy Made in USA""... everythin… https://t.co/DnmRWOeBQv",Pacific Northwest,#MAGA2020
75,10/13/2019 23:47,Following now!!  #MAGA2020 https://t.co/EXOS28Rfyr,,#MAGA2020
76,10/13/2019 23:46,@ValerieBaxter76 @stayyoungaft50 I CAN NOT believe ths Inccestuos ! The Left have fallen so far it IS NOT Funny.… https://t.co/VpwAYoTELK,"Maroochydore, Queensland, Aus.",#MAGA2020
77,10/13/2019 23:46,@cmccbyfaith @lablover6002 @realDonaldTrump Unite IFB all patriots. #MAGA2020,"Middle River, MD",#MAGA2020
78,10/13/2019 23:46,"VERY good explanation.
#MAGA2020 #KAG #GreatAwakening #WWG1WGA #QAnon
Derek Prince Tribute - Repentance Clearly Exp… https://t.co/4Q1B9WFHlj",,#MAGA2020
79,10/13/2019 23:45,@JoeBiden That’s Mr. President and don’t forget. #MAGA2020,"Alabama, USA",#MAGA2020
80,10/13/2019 23:45,@HillaryClinton Amazing... kinda how we think #Benghazi was one womans fault @HillaryClinton 🤔 @charliekirk11… https://t.co/cCk9yt0Hdg,USA,#MAGA2020
81,10/13/2019 23:45,This man deserves kuddos for the work he's doing. Please support his efforts in exposing the fake news corruption b… https://t.co/f47BnDgT5v,U.S.A. -Trumps Country,#MAGA2020
82,10/13/2019 23:44,"@JoeBiden Who is what?

https://t.co/tLA89Su0I0

Not lookin good Joe. #SMH #LawyerUp #LiberalLies… https://t.co/1s0MbeBEWB","Williamsburg, Virginia",#MAGA2020
83,10/13/2019 23:44,Eggsactly.... let’s hope it does blow it in their faces and their corruption is exposed.   #MAGA2020 https://t.co/6ujUdHC2JT,,#MAGA2020
84,10/13/2019 23:43,"@davidcicilline Pass this on @davidcicilline
#MAGA2020!! https://t.co/fvp0QJHAHZ",San Antonio,#MAGA2020
85,10/13/2019 23:43,@DavidJHarrisJr @davidonjackson1 She can always leave if she doesn’t like America. We will not hold you hostage.… https://t.co/Mn5d0nH9Y8,Texas,#MAGA2020
86,10/13/2019 23:42,@realDonaldTrump GREST FOR FARMERS AND ALL AMERICANS! BEST ECONOMY EVER #MAGA2020,,#MAGA2020
87,10/13/2019 23:41,@charlie_savage @nytimes U lie!!!! FAKE NEWS.  #MAGA2020.   🇺🇸🇺🇸🍆🍆🇺🇸🇺🇸🍆🍆🇺🇸🇺🇸🍆🍆,,#MAGA2020
88,10/13/2019 23:40,#MAGA #MAGA2020 how do you people love with yourselves? Are you that uneducated? That brainwashed? Go research fact… https://t.co/cGyDolC55n,,#MAGA2020
89,10/13/2019 23:39,The #MAGA2020 folks are lemmings.  #sad https://t.co/sxBKhxqTT9,Disneyland,#MAGA2020
90,10/13/2019 23:38,@ClintEastwoodLA thank you for your follow fellow patriot!  #MAGA2020 #promisekept,S. Florida #MAGACOUNTRY,#MAGA2020
91,10/13/2019 23:38,"@JackPosobiec The stakes were high for Poland....
Nationalists lined up for miles creating a Landslide Victory.....… https://t.co/1qBPblHhKO",USA!,#MAGA2020
92,10/13/2019 23:38,@realDonaldTrump @marklevinshow @FoxNews The Great One will expose the left and thei corruption and criminal activity! #MAGA2020 #KAG2020,"New Hampshire, USA",#MAGA2020
93,10/13/2019 23:38,"Are you turned off by #trump after his decision to not help the #kurds in #Turkey ?  

(background: the Kurds helpe… https://t.co/jfcbyq1wXb",New York,#MAGA2020
94,10/13/2019 23:37,Trump 2020 @realDonaldTrump  #kag #MAGA2020 @TheDemocrats https://t.co/xRqTytRlOb,matrix,#MAGA2020
95,10/13/2019 23:36,@freedomcaucus @Jim_Jordan FYI @ShannonFreshour is the #VoteBlue2020 Candidate that’s going to #SendGymHome #MAGA2020 #VoteBlueToSaveAmerica,"San Clemente, CA",#MAGA2020
96,10/13/2019 23:36,Your typical #MAGA2020  guy. https://t.co/nW05CIkwi4,"California, USA",#MAGA2020
97,10/13/2019 23:34,"#MAGA2020 #maga = Making America Grovel Again, Now I understand the buttlicking you're currently engaged in @POTUS",Australia,#MAGA2020
98,10/13/2019 23:33,@realDonaldTrump God bless you @realDonaldTrump  #MAGA2020,Taiping,#MAGA2020
99,10/13/2019 23:33,"Trump Pushes back against Coup, JW Battles in Court to Question Hillary Clinton, &amp; More! https://t.co/X8KcN61S4T… https://t.co/qLYXAF0tjV", Western USA,#MAGA2020
100,10/13/2019 23:32,"@realDonaldTrump Thank you to our Greatest President ever, Donald John Trump! 🙏🦅🇺🇸🙏🦅🇺🇸 #Trump2020Landslide #KAG2020 #MAGA2020",Lost Cause State of Illinois,#MAGA2020
101,10/13/2019 23:30,"Don't mind me. Just getting a head start on the end-of-decade/beginning-of-new-decade blog posts. 
#newyear… https://t.co/3vLdVBgot5",D-Town Colorado,#MAGA2020
102,10/13/2019 23:29,QAnon is taking over American Politics behind the scenes pt 1 https://t.co/WT4fouBcye #Qmovement #QAnon2019… https://t.co/Wu75u9ZA1M,,#MAGA2020
103,10/13/2019 23:27,@gtconway3d how do feel about 2 million Chinese demonstrating for #FreeHongKong? BTW who was responsible for pullin… https://t.co/nCuu4WOA12,"Omaha, NE",#MAGA2020
104,10/13/2019 23:27,Hey shifty Shift @repadamshlff you may want to try attending some @realDonaldTrump rally’s before you proceed with… https://t.co/hLps1LxrtL,"Mississippi, USA",#MAGA2020
105,10/13/2019 23:27,"Takes one to know one @MeanGene420 ..
#MAGA2020 https://t.co/PPzb9reGKR",,#MAGA2020
106,10/13/2019 23:27,"@loyaltoliberty Indeed, I feel as you do!
Thank you so much! 
Loyal to #Liberty #Loyalty #ProLife #MAGA #MAGA2020… https://t.co/Yc8QC3C4wI","Virginia, USA",#MAGA2020
107,10/13/2019 23:22,"#MAGA #KAG #KAGA2020 #KAG2020 #MAGA2020 #TeamTrump #TrumpTrain #Trump 

Do ANY OF YOU HAVE ABILITY TO UNDERSTAND WH… https://t.co/UIPfX4ezJu",In my van down by the river,#MAGA2020
108,10/13/2019 23:21,@DeanObeidallah @realDonaldTrump I’m not surprised liberals have low IQ. Therefore you don’t comprehend anything. W… https://t.co/QT9DTOdfMc,United States,#MAGA2020
109,10/13/2019 23:18,"hey bern, don’t forget #BringingBackIsis
#MAGA2020 https://t.co/2G9GLAdlRV","High Desert, USA",#MAGA2020
110,10/13/2019 23:17,I know you have to keep up the fight for #MAGA2020 and thank you Mr. President!! We’ve got the message and are shar… https://t.co/JLoOzj3l8Z,"Tennessee, USA",#MAGA2020
111,10/13/2019 23:17,@w_terrence One of the biggest hypocritical things the left has spit out on LIVE TV. Pretty disgusting what these l… https://t.co/ya9fsYaOvM,,#MAGA2020
112,10/13/2019 23:16,"@GayRepublicSwag #WomenForTrump #POTUS #MAGA2020 
Love is brash style and his no deal with bullshit. He's kept his… https://t.co/84r8AQEvvy",,#MAGA2020
113,10/13/2019 23:15,@RepFrenchHill Keep it up and we’ll send you back to Arkansas. #MAGA2020,United States,#MAGA2020
114,10/13/2019 23:13,Why is it when you tweet a democrat and/or @Scaramucci @SpeakerPelosi @RepAdamSchiff @RepJerryNadler you never get… https://t.co/kGRYEVeugU,,#MAGA2020
115,10/13/2019 23:13,"""THEY HAVE ALREADY STARTED""
""start preparing...""
Reading between the lines.
#WWG1WGA 
#QAnon
#QAnon2019
#MAGA2020… https://t.co/Pg1afGWdUM",The NEW American Revolution,#MAGA2020
116,10/13/2019 23:13,"@POTUS is on FIRE!

Just look at all the triggered trolls in the comments 👇 They HATE America so bad! Why? Why do t… https://t.co/3LYlP0tfao",,#MAGA2020
117,10/13/2019 23:12,@senatemajldr great job in Syria. Turkey backed militias are raising the ISIS flag in former Kurdish villages.  You… https://t.co/Ei5kAOgC5A,"Ohio, USA",#MAGA2020
118,10/13/2019 23:12,@kohlweiler @SoniaPernetti_ Impeach who exactly? I’ll support impeachment because the investigation will incriminat… https://t.co/mkGGM7H9q3,,#MAGA2020
119,10/13/2019 23:12,This is a great vendor showing the negativity and destruction of the LEFT. Terrible behavior but “that hat is disre… https://t.co/z2MtK4RuLv,"Portland, OR",#MAGA2020
120,10/13/2019 23:10,@ChuckCallesto @TrumpAllTheWay7 #dirtydems @TheDemocrats why aren’t we surprised 😮 #MAGA2020,Salt Lake City UTAH,#MAGA2020
121,10/13/2019 23:10,@Lrihendry Don’t forget a lot of us are small business owners😊and hire others as well. Definitely not hillbillies.… https://t.co/23DR8Lxrwk,,#MAGA2020
122,10/13/2019 23:10,"@thebradfordfile Trump has managed to climb partway out of the hole he dug himself..
Before Trump took office, Chin… https://t.co/caQbBYgp7g",,#MAGA2020
